symbol,date,price,sent,inds,mention,tweet
AMZN,Jan 02 2015,312.58,bad,Tech,-1,-1
AMZN,Jan 05 2015,307.01,bad,Tech,-1,-1
AMZN,Jan 06 2015,302.24,bad,Tech,-1,-1
AMZN,Jan 07 2015,297.5,bad,Tech,-1,-1
AMZN,Jan 08 2015,300.32,bad,Tech,-1,-1
AMZN,Jan 09 2015,301.48,bad,Tech,-1,-1
AMZN,Jan 12 2015,297.56,bad,Tech,-1,-1
AMZN,Jan 13 2015,297.48,bad,Tech,-1,-1
AMZN,Jan 14 2015,291.93,bad,Tech,-1,-1
AMZN,Jan 15 2015,294.0,bad,Tech,-1,-1
AMZN,Jan 16 2015,286.28,bad,Tech,-1,-1
AMZN,Jan 20 2015,292.59,bad,Tech,-1,-1
AMZN,Jan 21 2015,289.64,bad,Tech,-1,-1
AMZN,Jan 22 2015,300.0,bad,Tech,-1,-1
AMZN,Jan 23 2015,308.08,bad,Tech,-1,-1
AMZN,Jan 26 2015,311.82,bad,Tech,-1,-1
AMZN,Jan 27 2015,306.3,bad,Tech,-1,-1
AMZN,Jan 28 2015,309.81,bad,Tech,-1,-1
AMZN,Jan 29 2015,304.73,bad,Tech,-1,-1
AMZN,Jan 30 2015,346.32,bad,Tech,-1,-1
AMZN,Feb 02 2015,350.05,bad,Tech,-1,-1
AMZN,Feb 03 2015,360.29,bad,Tech,-1,-1
AMZN,Feb 04 2015,358.38,bad,Tech,-1,-1
AMZN,Feb 05 2015,366.0,bad,Tech,-1,-1
AMZN,Feb 06 2015,374.87,bad,Tech,-1,-1
AMZN,Feb 09 2015,371.0,bad,Tech,-1,-1
AMZN,Feb 10 2015,371.19,bad,Tech,-1,-1
AMZN,Feb 11 2015,371.23,bad,Tech,-1,-1
AMZN,Feb 12 2015,375.1,bad,Tech,-1,-1
AMZN,Feb 13 2015,378.41,bad,Tech,-1,-1
AMZN,Feb 17 2015,377.72,bad,Tech,-1,-1
AMZN,Feb 18 2015,375.42,bad,Tech,-1,-1
AMZN,Feb 19 2015,373.49,bad,Tech,-1,-1
AMZN,Feb 20 2015,378.62,bad,Tech,-1,-1
AMZN,Feb 23 2015,383.44,bad,Tech,-1,-1
AMZN,Feb 24 2015,378.65,bad,Tech,-1,-1
AMZN,Feb 25 2015,377.27,bad,Tech,-1,-1
AMZN,Feb 26 2015,384.07,bad,Tech,-1,-1
AMZN,Feb 27 2015,384.0,bad,Tech,-1,-1
AMZN,Mar 02 2015,380.85,bad,Tech,-1,-1
AMZN,Mar 03 2015,383.95,bad,Tech,-1,-1
AMZN,Mar 04 2015,385.71,bad,Tech,-1,-1
AMZN,Mar 05 2015,385.61,bad,Tech,-1,-1
AMZN,Mar 06 2015,385.52,bad,Tech,-1,-1
AMZN,Mar 09 2015,378.4,bad,Tech,-1,-1
AMZN,Mar 10 2015,377.45,bad,Tech,-1,-1
AMZN,Mar 11 2015,370.61,bad,Tech,-1,-1
AMZN,Mar 12 2015,368.82,bad,Tech,-1,-1
AMZN,Mar 13 2015,371.52,bad,Tech,-1,-1
AMZN,Mar 16 2015,370.38,bad,Tech,-1,-1
AMZN,Mar 17 2015,371.11,bad,Tech,-1,-1
AMZN,Mar 18 2015,369.97,bad,Tech,-1,-1
AMZN,Mar 19 2015,373.87,bad,Tech,-1,-1
AMZN,Mar 20 2015,376.29,bad,Tech,-1,-1
AMZN,Mar 23 2015,378.07,bad,Tech,-1,-1
AMZN,Mar 24 2015,373.99,bad,Tech,-1,-1
AMZN,Mar 25 2015,375.17,bad,Tech,-1,-1
AMZN,Mar 26 2015,369.59,bad,Tech,-1,-1
AMZN,Mar 27 2015,367.11,bad,Tech,-1,-1
AMZN,Mar 30 2015,371.87,bad,Tech,-1,-1
AMZN,Mar 31 2015,373.24,bad,Tech,-1,-1
AMZN,Apr 01 2015,372.1,bad,Tech,-1,-1
AMZN,Apr 02 2015,370.5,bad,Tech,-1,-1
AMZN,Apr 06 2015,370.1,bad,Tech,-1,-1
AMZN,Apr 07 2015,376.15,bad,Tech,-1,-1
AMZN,Apr 08 2015,374.66,bad,Tech,-1,-1
AMZN,Apr 09 2015,380.66,bad,Tech,-1,-1
AMZN,Apr 10 2015,384.31,bad,Tech,-1,-1
AMZN,Apr 13 2015,383.53,bad,Tech,-1,-1
AMZN,Apr 14 2015,383.51,bad,Tech,-1,-1
AMZN,Apr 15 2015,384.65,bad,Tech,-1,-1
AMZN,Apr 16 2015,383.69,bad,Tech,-1,-1
AMZN,Apr 17 2015,382.63,bad,Tech,-1,-1
AMZN,Apr 20 2015,378.55,bad,Tech,-1,-1
AMZN,Apr 21 2015,391.31,bad,Tech,-1,-1
AMZN,Apr 22 2015,391.91,bad,Tech,-1,-1
AMZN,Apr 23 2015,390.21,bad,Tech,-1,-1
AMZN,Apr 24 2015,439.0,bad,Tech,-1,-1
AMZN,Apr 27 2015,443.86,bad,Tech,-1,-1
AMZN,Apr 28 2015,438.51,bad,Tech,-1,-1
AMZN,Apr 29 2015,426.75,bad,Tech,-1,-1
AMZN,Apr 30 2015,427.11,bad,Tech,-1,-1
AMZN,May 01 2015,423.82,bad,Tech,-1,-1
AMZN,May 04 2015,424.8,bad,Tech,-1,-1
AMZN,May 05 2015,422.85,bad,Tech,-1,-1
AMZN,May 06 2015,421.43,bad,Tech,-1,-1
AMZN,May 07 2015,424.15,bad,Tech,-1,-1
AMZN,May 08 2015,430.75,bad,Tech,-1,-1
AMZN,May 11 2015,432.51,bad,Tech,-1,-1
AMZN,May 12 2015,431.08,bad,Tech,-1,-1
AMZN,May 13 2015,429.98,bad,Tech,-1,-1
AMZN,May 14 2015,429.45,bad,Tech,-1,-1
AMZN,May 15 2015,428.0,bad,Tech,-1,-1
AMZN,May 18 2015,426.0,bad,Tech,-1,-1
AMZN,May 19 2015,424.87,bad,Tech,-1,-1
AMZN,May 20 2015,420.6,bad,Tech,-1,-1
AMZN,May 21 2015,428.0,bad,Tech,-1,-1
AMZN,May 22 2015,431.55,bad,Tech,-1,-1
AMZN,May 26 2015,426.2,bad,Tech,-1,-1
AMZN,May 27 2015,427.45,bad,Tech,-1,-1
AMZN,May 28 2015,429.71,bad,Tech,-1,-1
AMZN,May 29 2015,427.23,bad,Tech,-1,-1
AMZN,Jun 01 2015,430.4,bad,Tech,-1,-1
AMZN,Jun 02 2015,430.07,bad,Tech,-1,-1
AMZN,Jun 03 2015,434.4,bad,Tech,-1,-1
AMZN,Jun 04 2015,434.4,bad,Tech,-1,-1
AMZN,Jun 05 2015,429.66,bad,Tech,-1,-1
AMZN,Jun 08 2015,425.62,bad,Tech,-1,-1
AMZN,Jun 09 2015,422.96,bad,Tech,-1,-1
AMZN,Jun 10 2015,426.46,bad,Tech,-1,-1
AMZN,Jun 11 2015,432.29,bad,Tech,-1,-1
AMZN,Jun 12 2015,431.25,bad,Tech,-1,-1
AMZN,Jun 15 2015,427.66,bad,Tech,-1,-1
AMZN,Jun 16 2015,424.15,bad,Tech,-1,-1
AMZN,Jun 17 2015,428.36,bad,Tech,-1,-1
AMZN,Jun 18 2015,430.3,bad,Tech,-1,-1
AMZN,Jun 19 2015,440.26,bad,Tech,-1,-1
AMZN,Jun 22 2015,437.0,bad,Tech,-1,-1
AMZN,Jun 23 2015,435.59,bad,Tech,-1,-1
AMZN,Jun 24 2015,444.97,bad,Tech,-1,-1
AMZN,Jun 25 2015,438.07,bad,Tech,-1,-1
AMZN,Jun 26 2015,441.76,bad,Tech,-1,-1
AMZN,Jun 29 2015,434.98,bad,Tech,-1,-1
AMZN,Jun 30 2015,434.2,bad,Tech,-1,-1
AMZN,Jul 01 2015,439.35,bad,Tech,-1,-1
AMZN,Jul 02 2015,437.0,bad,Tech,-1,-1
AMZN,Jul 06 2015,435.23,bad,Tech,-1,-1
AMZN,Jul 07 2015,435.68,bad,Tech,-1,-1
AMZN,Jul 08 2015,434.35,bad,Tech,-1,-1
AMZN,Jul 09 2015,434.9,bad,Tech,-1,-1
AMZN,Jul 10 2015,440.49,bad,Tech,-1,-1
AMZN,Jul 13 2015,448.29,bad,Tech,-1,-1
AMZN,Jul 14 2015,462.32,bad,Tech,-1,-1
AMZN,Jul 15 2015,463.04,bad,Tech,-1,-1
AMZN,Jul 16 2015,465.5,bad,Tech,-1,-1
AMZN,Jul 17 2015,477.7,bad,Tech,-1,-1
AMZN,Jul 20 2015,492.57,bad,Tech,-1,-1
AMZN,Jul 21 2015,487.9,bad,Tech,-1,-1
AMZN,Jul 22 2015,485.99,bad,Tech,-1,-1
AMZN,Jul 23 2015,491.66,bad,Tech,-1,-1
AMZN,Jul 24 2015,578.99,bad,Tech,-1,-1
AMZN,Jul 27 2015,527.75,bad,Tech,-1,-1
AMZN,Jul 28 2015,536.0,bad,Tech,-1,-1
AMZN,Jul 29 2015,530.92,bad,Tech,-1,-1
AMZN,Jul 30 2015,527.65,bad,Tech,-1,-1
AMZN,Jul 31 2015,539.09,bad,Tech,-1,-1
AMZN,Aug 03 2015,537.45,bad,Tech,-1,-1
AMZN,Aug 04 2015,529.69,bad,Tech,-1,-1
AMZN,Aug 05 2015,538.8,bad,Tech,-1,-1
AMZN,Aug 06 2015,539.3,bad,Tech,-1,-1
AMZN,Aug 07 2015,529.16,bad,Tech,-1,-1
AMZN,Aug 10 2015,528.52,bad,Tech,-1,-1
AMZN,Aug 11 2015,523.65,bad,Tech,-1,-1
